Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
97	3.440658962726593	501878	5174	2832.075994170718	-1407.5776	198.39977	-944.6937	-1649.5525	199.0	0.0
98	3.47094806432724	507052	5174	2847.383289822645	-1455.1848	164.86803	-1167.8357	-1647.8696	199.0	0.0
99	3.501580063501994	512226	5174	2815.5549360272435	-1458.6007	166.71217	-1122.7394	-1651.3389	199.0	0.0
100	3.531884717941284	517400	5174	2845.960216174818	-1407.4296	206.4784	-960.0405	-1649.4951	199.0	0.0
1	0.030765883127848306	5174	5174	2802.8846628052083	-1207.5294	275.11234	-778.3488	-1792.4548	199.0	0.0
2	0.06270944674809774	10348	5174	2700.7947685946424	-1452.0233	195.08055	-1157.3209	-1792.6033	199.0	0.0
3	0.09356335401535035	15522	5174	2795.2514671917465	-1615.827	158.09877	-1349.3506	-1892.4695	199.0	0.0
4	0.125998592376709	20696	5174	2658.975741456542	-1647.382	162.01035	-1337.1919	-1888.3949	199.0	0.0
5	0.15743036270141603	25870	5174	2743.9689669791774	-1695.5652	133.88742	-1366.362	-1854.8289	199.0	0.0
6	0.18907803694407146	31044	5174	2725.1202521925516	-1699.5243	91.58933	-1491.2017	-1872.051	199.0	0.0
7	0.21988481680552166	36218	5174	2799.6458595192776	-1777.718	77.97037	-1561.0044	-1873.2456	199.0	0.0
8	0.25147517522176105	41392	5174	2730.208039932572	-1748.9604	67.2063	-1635.1754	-1867.4558	199.0	0.0
9	0.2816988786061605	46566	5174	2853.796704027197	-1774.431	78.79698	-1578.5872	-1891.2893	199.0	0.0
10	0.3125674565633138	51740	5174	2794.0235371124672	-1763.6426	78.38819	-1580.8774	-1885.832	199.0	0.0
11	0.34277159372965493	56914	5174	2855.4579256934294	-1758.0397	79.694534	-1583.7451	-1873.2856	199.0	0.0
12	0.3740807890892029	62088	5174	2754.695185113066	-1769.4171	63.69281	-1659.2965	-1861.6288	199.0	0.0
13	0.40486971139907835	67262	5174	2801.1440999707124	-1750.2305	74.247	-1536.6704	-1867.2611	199.0	0.0
14	0.4352627396583557	72436	5174	2837.8263131727495	-1762.3914	70.679535	-1564.2456	-1869.7595	199.0	0.0
15	0.46565097173055015	77610	5174	2838.7933454909967	-1775.0841	71.411545	-1556.9055	-1870.2683	199.0	0.0
16	0.49590027729670205	82784	5174	2851.1710101224826	-1746.7993	73.42192	-1576.554	-1858.8245	199.0	0.0
17	0.5262719551722209	87958	5174	2839.7970828825814	-1760.905	74.740326	-1528.7922	-1833.6226	199.0	0.0
18	0.5563271244366964	93132	5174	2869.565335869327	-1705.3927	99.943375	-1435.5488	-1798.0056	199.0	0.0
19	0.5873385707537333	98306	5174	2781.1484152910225	-1666.0236	71.318275	-1440.0645	-1781.358	199.0	0.0
20	0.617997924486796	103480	5174	2812.990358255809	-1684.237	59.035557	-1511.5198	-1763.1797	199.0	0.0
21	0.755667245388031	108654	5174	626.398002137878	-1630.219	66.79314	-1473.9998	-1715.3916	199.0	0.0
22	0.7862665931383769	113828	5174	2818.579888469	-1627.9874	57.283825	-1436.251	-1704.371	199.0	0.0
23	0.8171201388041178	119002	5174	2795.4199778879074	-1575.2687	62.6272	-1401.7615	-1665.2715	199.0	0.0
24	0.8480613748232524	124176	5174	2787.4047968170557	-1563.0096	66.135506	-1338.4818	-1624.7726	199.0	0.0
25	0.8788904905319214	129350	5174	2797.5857792339802	-1537.3866	56.529884	-1416.313	-1601.3799	199.0	0.0
26	0.9093843817710876	134524	5174	2828.3605540067138	-1512.041	41.53449	-1435.805	-1581.219	199.0	0.0
27	0.9419078509012858	139698	5174	2651.877456548227	-1515.0033	49.0269	-1359.2253	-1572.4556	199.0	0.0
28	0.9729962706565857	144872	5174	2775.5627935185753	-1499.3607	67.874146	-1276.665	-1555.1528	199.0	0.0
29	1.004312817255656	150046	5174	2753.944993507687	-1505.1205	68.60572	-1269.0757	-1561.5116	199.0	0.0
30	1.0349831501642863	155220	5174	2811.9737779417924	-1513.3068	46.28147	-1349.6083	-1553.9436	199.0	0.0
31	1.0664941191673278	160394	5174	2737.1340374442234	-1525.121	35.872166	-1433.9407	-1575.7769	199.0	0.0
32	1.0967100183169047	165568	5174	2854.286533353781	-1522.3055	76.63879	-1213.1709	-1583.0342	199.0	0.0
33	1.1277095198631286	170742	5174	2783.261094303552	-1515.1334	65.16388	-1325.6927	-1586.6421	199.0	0.0
34	1.1590266148249309	175916	5174	2754.7521828170097	-1533.5819	62.221817	-1283.2546	-1595.9692	199.0	0.0
35	1.1896703084309896	181090	5174	2814.426267130798	-1535.1827	44.994442	-1430.661	-1593.2651	199.0	0.0
36	1.2203804850578308	186264	5174	2808.49294444947	-1535.799	39.287758	-1429.6941	-1588.1407	199.0	0.0
37	1.251229429244995	191438	5174	2795.8683584800065	-1558.7461	34.135323	-1460.45	-1605.6984	199.0	0.0
38	1.28220982948939	196612	5174	2783.961986493095	-1542.2845	50.612396	-1416.1965	-1599.8251	199.0	0.0
39	1.3126352230707805	201786	5174	2834.8121432780467	-1551.4603	35.396965	-1462.7627	-1603.723	199.0	0.0
40	1.3442949493726095	206960	5174	2725.018279232476	-1534.7572	46.5658	-1437.9592	-1592.1189	199.0	0.0
41	1.4834866801897684	212134	5174	619.5479768129669	-1553.286	31.306543	-1448.5444	-1592.6625	199.0	0.0
42	1.514354375998179	217308	5174	2794.089728563724	-1523.0184	63.726315	-1322.7501	-1592.5854	199.0	0.0
43	1.5448461453119913	222482	5174	2828.4700394736396	-1500.7489	60.381336	-1355.5325	-1573.2256	199.0	0.0
44	1.5765722393989563	227656	5174	2718.3896814743443	-1510.4081	41.60479	-1416.2723	-1556.521	199.0	0.0
45	1.6067660411198934	232830	5174	2856.372347059841	-1502.8411	42.42274	-1374.5171	-1548.8154	199.0	0.0
46	1.6379215757052104	238004	5174	2768.279109127937	-1480.0436	60.664078	-1322.1312	-1544.7393	199.0	0.0
47	1.6690309405326844	243178	5174	2773.3153998141097	-1501.3588	40.015896	-1410.2449	-1554.2736	199.0	0.0
48	1.7004011154174805	248352	5174	2749.346170262283	-1466.1687	62.71651	-1282.6398	-1536.9801	199.0	0.0
49	1.7306887666384378	253526	5174	2847.555529312411	-1475.3234	55.014214	-1293.3447	-1532.6123	199.0	0.0
50	1.7618954221407572	258700	5174	2763.9290495735722	-1484.6517	43.272453	-1381.7454	-1544.113	199.0	0.0
51	1.7922823150952658	263874	5174	2838.2074790950046	-1475.427	60.63486	-1330.0637	-1542.7168	199.0	0.0
52	1.8231471935908	269048	5174	2794.3660397926838	-1498.0331	53.58196	-1309.5005	-1543.6608	199.0	0.0
53	1.853407609462738	274222	5174	2850.199271365565	-1506.2292	51.718304	-1309.6973	-1566.1455	199.0	0.0
54	1.8847787419954936	279396	5174	2749.1601824874524	-1502.5667	49.379642	-1369.0796	-1560.4751	199.0	0.0
55	1.9157870968182882	284570	5174	2781.426094151788	-1513.1085	48.085743	-1414.9502	-1573.9044	199.0	0.0
56	1.9463181734085082	289744	5174	2825.9363526115067	-1505.9185	69.37619	-1347.6274	-1578.0415	199.0	0.0
57	1.9767367164293925	294918	5174	2835.4099452511946	-1532.2162	37.9648	-1457.0935	-1586.4979	199.0	0.0
58	2.006937615076701	300092	5174	2855.825803714399	-1538.3861	52.303936	-1398.3889	-1597.8855	199.0	0.0
59	2.0376994967460633	305266	5174	2803.6563248228413	-1531.065	86.09004	-1201.5813	-1608.1398	199.0	0.0
60	2.068377498785655	310440	5174	2811.2590762483364	-1543.1771	52.576942	-1385.9023	-1617.0674	199.0	0.0
61	2.2073821226755777	315614	5174	620.3877430666838	-1542.033	37.344177	-1458.5186	-1588.9706	199.0	0.0
62	2.238299389680227	320788	5174	2789.668637997485	-1518.7252	61.798607	-1323.4331	-1604.5474	199.0	0.0
63	2.2691847840944925	325962	5174	2792.392405672456	-1519.5421	60.26616	-1350.9614	-1591.1394	199.0	0.0
64	2.3012261271476744	331136	5174	2691.692778332828	-1515.2598	60.96156	-1388.5586	-1576.6108	199.0	0.0
65	2.332245373725891	336310	5174	2781.270316255927	-1503.1398	59.98614	-1303.3203	-1561.9832	199.0	0.0
66	2.36308931907018	341484	5174	2796.14213943056	-1490.5287	52.82573	-1372.0731	-1567.9255	199.0	0.0
67	2.3937595009803774	346658	5174	2812.959000587056	-1503.3627	39.859833	-1395.0009	-1556.7535	199.0	0.0
68	2.4239391525586447	351832	5174	2857.7192998674072	-1510.4205	45.36606	-1384.5552	-1553.1089	199.0	0.0
69	2.4548300981521605	357006	5174	2793.070943518812	-1498.0981	45.487926	-1347.2808	-1553.8433	199.0	0.0
70	2.485324466228485	362180	5174	2828.3454405171515	-1490.6525	51.53509	-1368.2678	-1552.6345	199.0	0.0
71	2.515274131298065	367354	5174	2879.7533617071194	-1475.4486	54.384674	-1293.6289	-1534.8693	199.0	0.0
72	2.544978475570679	372528	5174	2904.6053372937054	-1450.8351	84.54949	-1120.0333	-1526.3169	199.0	0.0
73	2.575422545274099	377702	5174	2832.9766084871567	-1478.0868	41.759865	-1328.0894	-1524.5276	199.0	0.0
74	2.605802039305369	382876	5174	2838.898069523627	-1465.4791	53.23283	-1295.6841	-1519.9335	199.0	0.0
75	2.6362542629241945	388050	5174	2832.258954414908	-1481.5907	34.719788	-1367.0586	-1507.854	199.0	0.0
76	2.667191763718923	393224	5174	2787.8097823008043	-1475.5692	35.96242	-1381.7012	-1511.058	199.0	0.0
77	2.6993739446004232	398398	5174	2679.952600592715	-1459.2904	52.276558	-1328.7084	-1509.9363	199.0	0.0
78	2.7300005038579305	403572	5174	2816.041590776614	-1445.8761	78.797005	-1211.321	-1508.4408	199.0	0.0
79	2.7602494955062866	408746	5174	2851.2028509231486	-1464.0382	54.15996	-1279.4323	-1511.882	199.0	0.0
80	2.7904099504152935	413920	5174	2859.5493673601504	-1459.8062	50.25346	-1315.3564	-1512.9099	199.0	0.0
